origen,destino,distancia,tiempo
Lago Verde,Mirador del Sol,40.0,1.0
Lago Verde,Cascada Azul,40.0,1.0
Lago Verde,Montaña Cristal,40.0,1.0
Lago Verde,Parque del Jaguar,40.0,1.0
Lago Verde,Grutas de la Luna,40.0,1.0
Lago Verde,Río Claro,40.0,1.0
Lago Verde,Bosque Encantado,40.0,1.0
Lago Verde,Cerro del Viento,40.0,1.0
Lago Verde,Sendero del Puma,40.0,1.0
Lago Verde,Laguna Misteriosa,40.0,1.0
Lago Verde,Valle Florido,40.0,1.0
Lago Verde,EcoParque Itzá,40.0,1.0
Mirador del Sol,Cascada Azul,40.0,1.0
Mirador del Sol,Montaña Cristal,40.0,1.0
Mirador del Sol,Parque del Jaguar,40.0,1.0
Mirador del Sol,Grutas de la Luna,40.0,1.0
Mirador del Sol,Río Claro,40.0,1.0
Mirador del Sol,Bosque Encantado,40.0,1.0
Mirador del Sol,Cerro del Viento,40.0,1.0
Mirador del Sol,Sendero del Puma,40.0,1.0
Mirador del Sol,Laguna Misteriosa,40.0,1.0
Mirador del Sol,Valle Florido,40.0,1.0
Mirador del Sol,EcoParque Itzá,40.0,1.0
Cascada Azul,Montaña Cristal,40.0,1.0
Cascada Azul,Parque del Jaguar,40.0,1.0
Cascada Azul,Grutas de la Luna,40.0,1.0
Cascada Azul,Río Claro,40.0,1.0
Cascada Azul,Bosque Encantado,40.0,1.0
Cascada Azul,Cerro del Viento,40.0,1.0
Cascada Azul,Sendero del Puma,40.0,1.0
Cascada Azul,Laguna Misteriosa,40.0,1.0
Cascada Azul,Valle Florido,40.0,1.0
Cascada Azul,EcoParque Itzá,40.0,1.0
Montaña Cristal,Parque del Jaguar,40.0,1.0
Montaña Cristal,Grutas de la Luna,40.0,1.0
Montaña Cristal,Río Claro,40.0,1.0
Montaña Cristal,Bosque Encantado,40.0,1.0
Montaña Cristal,Cerro del Viento,40.0,1.0
Montaña Cristal,Sendero del Puma,40.0,1.0
Montaña Cristal,Laguna Misteriosa,40.0,1.0
Montaña Cristal,Valle Florido,40.0,1.0
Montaña Cristal,EcoParque Itzá,40.0,1.0
Parque del Jaguar,Grutas de la Luna,40.0,1.0
Parque del Jaguar,Río Claro,40.0,1.0
Parque del Jaguar,Bosque Encantado,40.0,1.0
Parque del Jaguar,Cerro del Viento,40.0,1.0
Parque del Jaguar,Sendero del Puma,40.0,1.0
Parque del Jaguar,Laguna Misteriosa,40.0,1.0
Parque del Jaguar,Valle Florido,40.0,1.0
Parque del Jaguar,EcoParque Itzá,40.0,1.0
Grutas de la Luna,Río Claro,40.0,1.0
Grutas de la Luna,Bosque Encantado,40.0,1.0
Grutas de la Luna,Cerro del Viento,40.0,1.0
Grutas de la Luna,Sendero del Puma,40.0,1.0
Grutas de la Luna,Laguna Misteriosa,40.0,1.0
Grutas de la Luna,Valle Florido,40.0,1.0
Grutas de la Luna,EcoParque Itzá,40.0,1.0
Río Claro,Bosque Encantado,40.0,1.0
Río Claro,Cerro del Viento,40.0,1.0
Río Claro,Sendero del Puma,40.0,1.0
Río Claro,Laguna Misteriosa,40.0,1.0
Río Claro,Valle Florido,40.0,1.0
Río Claro,EcoParque Itzá,40.0,1.0
Bosque Encantado,Cerro del Viento,40.0,1.0
Bosque Encantado,Sendero del Puma,40.0,1.0
Bosque Encantado,Laguna Misteriosa,40.0,1.0
Bosque Encantado,Valle Florido,40.0,1.0
Bosque Encantado,EcoParque Itzá,40.0,1.0
Cerro del Viento,Sendero del Puma,40.0,1.0
Cerro del Viento,Laguna Misteriosa,40.0,1.0
Cerro del Viento,Valle Florido,40.0,1.0
Cerro del Viento,EcoParque Itzá,40.0,1.0
Sendero del Puma,Laguna Misteriosa,40.0,1.0
Sendero del Puma,Valle Florido,40.0,1.0
Sendero del Puma,EcoParque Itzá,40.0,1.0
Laguna Misteriosa,Valle Florido,40.0,1.0
Laguna Misteriosa,EcoParque Itzá,40.0,1.0
Valle Florido,EcoParque Itzá,40.0,1.0
