nombre,departamento,calificacion,costo,tiempo,latitud,longitud
Lugar 1 (Petén),Petén,4.9,219.2,6.0,16.99166,-89.821477
Lugar 2 (Petén),Petén,3.9,224.77,5.6,16.976629,-89.986895
Lugar 3 (Petén),Petén,4.9,242.07,3.1,16.8121,-89.92635
Lugar 4 (Petén),Petén,4.2,174.02,5.1,16.87162,-89.973586
Lugar 5 (Petén),Petén,4.9,179.17,2.8,16.851325,-89.838932
Lugar 6 (Petén),Petén,4.2,109.76,1.7,16.941222,-89.976767
Lugar 7 (Petén),Petén,4.7,137.59,3.6,16.982223,-89.864079
Lugar 8 (Petén),Petén,4.5,68.86,4.4,16.820036,-89.86249
Lugar 9 (Petén),Petén,4.7,126.68,5.1,16.889446,-89.881019
Lugar 10 (Petén),Petén,4.7,105.28,2.2,16.837259,-89.854289
Lugar 1 (Izabal),Izabal,4.1,114.44,3.3,15.72927,-88.686702
Lugar 2 (Izabal),Izabal,4.0,80.3,3.7,15.763434,-88.610012
Lugar 3 (Izabal),Izabal,4.5,148.08,4.7,15.701161,-88.524592
Lugar 4 (Izabal),Izabal,3.9,190.56,5.3,15.692696,-88.69549
Lugar 5 (Izabal),Izabal,5.0,198.22,5.6,15.784106,-88.678619
Lugar 6 (Izabal),Izabal,4.1,101.6,4.9,15.615662,-88.56172
Lugar 7 (Izabal),Izabal,4.5,170.37,2.8,15.797538,-88.560647
Lugar 8 (Izabal),Izabal,4.4,146.35,5.4,15.734036,-88.688143
Lugar 9 (Izabal),Izabal,4.5,190.64,3.3,15.740643,-88.522472
Lugar 10 (Izabal),Izabal,3.8,254.27,5.7,15.689771,-88.539496
Lugar 1 (Huehuetenango),Huehuetenango,4.6,277.08,4.2,15.283793,-91.483614
Lugar 2 (Huehuetenango),Huehuetenango,4.3,153.91,1.2,15.271048,-91.444572
Lugar 3 (Huehuetenango),Huehuetenango,4.0,153.83,4.5,15.270826,-91.457647
Lugar 4 (Huehuetenango),Huehuetenango,4.6,139.57,3.7,15.379439,-91.477594
Lugar 5 (Huehuetenango),Huehuetenango,4.8,179.12,5.0,15.296098,-91.521433
Lugar 6 (Huehuetenango),Huehuetenango,4.5,76.08,2.9,15.33211,-91.459691
Lugar 7 (Huehuetenango),Huehuetenango,4.3,138.67,2.3,15.209095,-91.560178
Lugar 8 (Huehuetenango),Huehuetenango,3.9,130.06,2.8,15.347875,-91.4781
Lugar 9 (Huehuetenango),Huehuetenango,4.5,174.37,5.1,15.20514,-91.428095
Lugar 10 (Huehuetenango),Huehuetenango,4.0,186.97,5.6,15.281418,-91.498367
Lugar 1 (Guatemala),Guatemala,4.9,126.1,3.1,14.549082,-90.504801
Lugar 2 (Guatemala),Guatemala,4.4,268.31,4.4,14.591697,-90.502201
Lugar 3 (Guatemala),Guatemala,4.7,205.37,3.0,14.682614,-90.593409
Lugar 4 (Guatemala),Guatemala,4.3,70.1,4.7,14.698438,-90.47941
Lugar 5 (Guatemala),Guatemala,3.5,50.14,3.9,14.609121,-90.561511
Lugar 6 (Guatemala),Guatemala,3.8,130.64,5.0,14.545228,-90.496502
Lugar 7 (Guatemala),Guatemala,4.8,86.1,2.6,14.544407,-90.501061
Lugar 8 (Guatemala),Guatemala,3.7,244.45,5.3,14.678069,-90.561442
Lugar 9 (Guatemala),Guatemala,4.4,103.72,4.7,14.658787,-90.49681
Lugar 10 (Guatemala),Guatemala,4.7,155.74,2.5,14.560609,-90.498435
Lugar 1 (Quetzaltenango),Quetzaltenango,3.6,108.95,5.9,14.810159,-91.433202
Lugar 2 (Quetzaltenango),Quetzaltenango,4.9,120.42,4.0,14.788644,-91.422434
Lugar 3 (Quetzaltenango),Quetzaltenango,3.7,128.82,3.3,14.813603,-91.479106
Lugar 4 (Quetzaltenango),Quetzaltenango,3.8,217.7,2.2,14.838876,-91.583525
Lugar 5 (Quetzaltenango),Quetzaltenango,3.8,175.67,4.4,14.856523,-91.593322
Lugar 6 (Quetzaltenango),Quetzaltenango,3.9,125.46,3.7,14.871525,-91.59956
Lugar 7 (Quetzaltenango),Quetzaltenango,3.5,61.67,1.7,14.839714,-91.584388
Lugar 8 (Quetzaltenango),Quetzaltenango,4.1,61.85,5.5,14.832383,-91.410919
Lugar 9 (Quetzaltenango),Quetzaltenango,4.6,276.46,4.7,14.813524,-91.592148
Lugar 10 (Quetzaltenango),Quetzaltenango,4.8,289.75,3.2,14.871791,-91.576243
Lugar 1 (Alta Verapaz),Alta Verapaz,3.6,84.67,3.2,15.50507,-90.270788
Lugar 2 (Alta Verapaz),Alta Verapaz,4.6,103.71,4.7,15.68148,-90.356397
Lugar 3 (Alta Verapaz),Alta Verapaz,4.0,79.37,1.9,15.628904,-90.324957
Lugar 4 (Alta Verapaz),Alta Verapaz,4.0,81.35,2.7,15.507242,-90.234958
Lugar 5 (Alta Verapaz),Alta Verapaz,4.7,97.9,5.2,15.690809,-90.235731
Lugar 6 (Alta Verapaz),Alta Verapaz,4.2,75.58,4.4,15.517162,-90.251739
Lugar 7 (Alta Verapaz),Alta Verapaz,3.9,277.08,5.8,15.628514,-90.202473
Lugar 8 (Alta Verapaz),Alta Verapaz,5.0,294.22,2.8,15.533858,-90.258564
Lugar 9 (Alta Verapaz),Alta Verapaz,3.6,160.49,4.3,15.655862,-90.209315
Lugar 10 (Alta Verapaz),Alta Verapaz,4.4,50.99,4.0,15.583555,-90.359114
Lugar 1 (Zacapa),Zacapa,4.6,133.8,1.3,15.061881,-89.496719
Lugar 2 (Zacapa),Zacapa,4.2,83.89,2.0,15.044399,-89.45084
Lugar 3 (Zacapa),Zacapa,4.0,290.61,4.3,15.067477,-89.405845
Lugar 4 (Zacapa),Zacapa,3.8,196.05,4.5,15.056004,-89.442687
Lugar 5 (Zacapa),Zacapa,4.9,207.52,5.5,15.01783,-89.508911
Lugar 6 (Zacapa),Zacapa,3.7,257.86,3.3,15.035145,-89.41085
Lugar 7 (Zacapa),Zacapa,4.1,153.32,5.1,15.080181,-89.488998
Lugar 8 (Zacapa),Zacapa,3.6,154.37,2.5,15.076401,-89.556229
Lugar 9 (Zacapa),Zacapa,3.8,76.56,2.7,15.094407,-89.592487
Lugar 10 (Zacapa),Zacapa,3.9,180.19,3.2,14.914421,-89.545261
Lugar 1 (Chiquimula),Chiquimula,3.8,106.56,5.5,14.759975,-89.570831
Lugar 2 (Chiquimula),Chiquimula,4.0,139.93,1.4,14.716147,-89.539053
Lugar 3 (Chiquimula),Chiquimula,3.8,59.37,5.4,14.710614,-89.52546
Lugar 4 (Chiquimula),Chiquimula,4.2,260.99,5.5,14.835457,-89.564517
Lugar 5 (Chiquimula),Chiquimula,3.9,138.67,4.5,14.843251,-89.522228
Lugar 6 (Chiquimula),Chiquimula,3.9,257.69,3.8,14.870752,-89.548115
Lugar 7 (Chiquimula),Chiquimula,4.1,51.22,5.2,14.795951,-89.446344
Lugar 8 (Chiquimula),Chiquimula,4.3,279.23,5.1,14.746781,-89.407191
Lugar 9 (Chiquimula),Chiquimula,3.8,107.86,3.8,14.845155,-89.483489
Lugar 10 (Chiquimula),Chiquimula,4.7,119.3,1.4,14.766339,-89.404766
Lugar 1 (Jalapa),Jalapa,4.1,285.77,5.9,14.556891,-89.833617
Lugar 2 (Jalapa),Jalapa,3.7,124.93,2.8,14.505342,-89.881169
Lugar 3 (Jalapa),Jalapa,4.5,151.5,3.6,14.511387,-89.914559
Lugar 4 (Jalapa),Jalapa,4.9,175.87,3.6,14.520902,-89.860741
Lugar 5 (Jalapa),Jalapa,4.5,251.16,6.0,14.511565,-89.954808
Lugar 6 (Jalapa),Jalapa,3.7,204.56,5.0,14.559082,-89.919888
